ID,FLAG
1136861,w
1013461,w
1232356,w
1086054,w
1119329,w
1225507,w
1062502,w
1042537,w
1162303,w
1179846,w
1232390,w
1026744,w
1174010,w
1154416,w
1042063,w
1114254,w
1096895,w
1148635,w
1188141,w
1228962,w
1074581,w
1037821,w
1213298,w
1074958,w
1020795,w
1137288,w
1232327,w
1139967,w
1232323,w
1096909,w
1026621,w
1125816,w
1239843,w
1212220,w
1089903,w
1099225,w
1242744,w
1244456,w
1157044,w
1163335,w
1065969,w
1038718,w
1133996,w
1003727,w
1235605,w
1075276,w
1227352,w
1135488,w
1165496,w
1243864,w
1081426,w
1075672,w
1096912,w
1197381,w
1157273,w
1244461,w
1091199,w
1238437,w
1245662,w
1061891,w
1044621,w
1247255,w
1165775,w
1071779,w
1117367,w
1132049,w
1064528,w
1109968,w
1249549,w
1096929,w
1142770,w
1122699,w
1022665,w
1186709,w
1035157,w
1088885,w
1239171,w
1237269,w
1241392,w
1029055,w
1229152,w
1049820,w
1228380,w
1170937,w
1232118,w
1232352,w
1222609,w
1035003,w
1191978,w
1035856,w
1204526,w
1216820,w
1197028,w
1196852,w
1243413,w
1249556,w
1074105,w
1173473,w
1086977,w
1003297,w
1020799,w
1029213,w
1064793,w
1089575,w
1071327,w
1037774,w
1243542,w
1230290,w
1232793,w
1115975,w
1048051,w
1014269,w
1074700,w
1230979,w
1241238,w
1216470,w
1225320,w
1177430,w
1073170,w
1040970,w
1074588,w
1069047,w
1003661,w
1071822,w
1193917,w
1118734,w
1071220,w
1043410,w
1031679,w
1003694,w
1134044,w
1124979,w
1026660,w
1229805,w
1084934,w
1071224,w
1090023,w
1043414,w
1023762,w
1129462,w
1210098,w
1232009,w
1019187,w
1232425,w
1020776,w
1116651,w
1122977,w
1071211,w
1043162,w
1218700,w
1072355,w
1092193,w
1099282,w
1117041,w
1086730,w
1125592,w
1196994,w
1241766,w
1162043,w
1223005,w
1229663,w
1234113,w
1118211,w
1082499,w
1133780,w
1019415,w
1082965,w
1226776,w
1171816,w
1115834,w
1012274,w
1080075,w
1190057,w
1123253,w
1192967,w
1099125,w
1185288,w
1100360,w
1093372,w
1096900,w
1151577,w
1245650,w
1106016,w
1123257,w
1071015,w
1071365,w
1186005,w
1172305,w
1212331,w
1032724,w
1236287,w
1150105,w
1232386,w
1096155,w
1232373,w
1121000,w
1071215,w
1088103,w
1035219,w
1117027,w
1099334,w
1223427,w
1031349,w
1039334,w
1118600,w
1232377,w
1200176,w
1232342,w
1035998,w
1067988,w
1107066,w
1028163,w
1030928,w
1070443,w
1089766,w
1216474,w
1003656,w
1203405,w
1161950,w
1028167,w
1068885,w
1082658,w
1046825,w
1075795,w
1239210,w
1074134,w
1226229,w
1233953,w
1135534,w
1232376,w
1192621,w
1155664,w
1071449,w
1228029,w
1117040,w
1097386,w
1075399,w
1069217,w
1062096,w
1146792,w
1168659,w
1076073,w
1144356,w
1237102,w
1142952,w
1123252,w
1028166,w
1110784,w
1006041,w
1122017,w
1140558,w
1183128,w
1020285,w
1020722,w
1048050,w
1140992,w
1119123,w
1188976,w
1232372,w
1133097,w
1241239,w
1096873,w
1126440,w
1226173,w
1180570,w
1144347,w
1050848,w
1049509,w
1210312,w
1237197,w
1028162,w
1149564,w
1148842,w
1070677,w
1213360,w
1096471,w
1241404,w
1202498,w
1051458,w
1232343,w
1086025,w
1170216,w
1043415,w
1194744,w
1165807,w
1117293,w
1087875,w
1049516,w
1069046,w
1100361,w
1020777,w
1021897,w
1194973,w
1223042,w
1189179,w
1223903,w
1096884,w
1099681,w
1046973,w
1222739,w
1162444,w
1170591,w
1143599,w
1189821,w
1124369,w
1067114,w
1099586,w
1179646,w
1146512,w
1112755,w
1186280,w
1109122,w
1046742,w
1081969,w
1074589,w
1214930,w
1040500,w
1096901,w
1196544,w
1005659,w
1123256,w
1216334,w
1172973,w
1204858,w
1075470,w
1200392,w
1088749,w
1003676,w
1073853,w
1136895,w
1030616,w
1113995,w
1075143,w
1144333,w
1003672,w
1138060,w
1020785,w
1071219,w
1236892,w
1091134,w
1144364,w
1071206,w
1171441,w
1215107,w
1190123,w
1090560,w
1181503,w
1032221,w
1117034,w
1159995,w
1236283,w
1147947,w
1074591,w
1174031,w
1045502,w
1232364,w
1140779,w
1087889,w
1173399,w
1232328,w
1108551,w
1181497,w
1041449,w
1125543,w
1205487,w
1149749,w
1144337,w
1208608,w
1003733,w
1071802,w
1096892,w
1166744,w
1127774,w
1154589,w
1003690,w
1022844,w
1223337,w
1091756,w
1117030,w
1232333,w
1071330,w
1237826,w
1245203,w
1134150,w
1081847,w
1232401,w
1031787,w
1011608,w
1067634,w
1063063,w
1073158,w
1194473,w
1067058,w
1196851,w
1045494,w
1022185,w
1207717,w
1232337,w
1207414,w
1173119,w
1003737,w
1043320,w
1065654,w
1116077,w
1158648,w
1237266,w
1245607,w
1035226,w
1138695,w
1028170,w
1096867,w
1073154,w
1213570,w
1157454,w
1005564,w
1124735,w
1069043,w
1100142,w
1062200,w
1085016,w
1110046,w
1232405,w
1066176,w
1003687,w
1114383,w
1020789,w
1139348,w
1105583,w
1158759,w
1070385,w
1241400,w
1099205,w
1130391,w
1203280,w
1243479,w
1144365,w
1135972,w
1069042,w
1067514,w
1236282,w
1107016,w
1096923,w
1068274,w
1237270,w
1146123,w
1247761,w
1246841,w
1209705,w
1207523,w
1029480,w
1233052,w
1173848,w
1238075,w
1144332,w
1236893,w
1022269,w
1028171,w
1157532,w
1069893,w
1117679,w
1182668,w
1161540,w
1173824,w
1117035,w
1125139,w
1169403,w
1175677,w
1073359,w
1232365,w
1233775,w
1218729,w
1021170,w
1117039,w
1063747,w
1144336,w
1218615,w
1157882,w
1232420,w
1109234,w
1096893,w
1027288,w
1003710,w
1207699,w
1239782,w
1041233,w
1045167,w
1108352,w
1117031,w
1035210,w
1232332,w
1071331,w
1119750,w
1201725,w
1127609,w
1232361,w
1091395,w
1132894,w
1144543,w
1192746,w
1003718,w
1236134,w
1186233,w
1065073,w
1232400,w
1209701,w
1093368,w
1022531,w
1172867,w
1208014,w
1232446,w
1049471,w
1063066,w
1075636,w
1109654,w
1232336,w
1148985,w
1249558,w
1164194,w
1162374,w
1011694,w
1037049,w
1063217,w
1100512,w
1232329,w
1199885,w
1020286,w
1248169,w
1009016,w
1034654,w
1171539,w
1232355,w
1244875,w
1191977,w
1183729,w
1136501,w
1074582,w
1232393,w
1096870,w
1232351,w
1249551,w
1096119,w
1035855,w
1090425,w
1243726,w
1124045,w
1086978,w
1216467,w
1164371,w
1203700,w
1169811,w
1230997,w
1244455,w
1096874,w
1003724,w
1232359,w
1113054,w
1204000,w
1149710,w
1230548,w
1086932,w
1112310,w
1086170,w
1232388,w
1188142,w
1034698,w
1245221,w
1217022,w
1132723,w
1020796,w
1026279,w
1034450,w
1049715,w
1245195,w
1039073,w
1241391,w
1068718,w
1044710,w
1106436,w
1090746,w
1246749,w
1227650,w
1022048,w
1157629,w
1090548,w
1156020,w
1113986,w
1071277,w
1006480,w
1237136,w
1231378,w
1217237,w
1004950,w
1199135,w
1199452,w
1089276,w
1183877,w
1083735,w
1142757,w
1244459,w
1190109,w
1093002,w
1161442,w
1096911,w
1097864,w
1238357,w
1042400,w
1173498,w
1099244,w
1003960,w
1244433,w
1074900,w
1142216,w
1087784,w
1030182,w
1111429,w
1074904,w
1133166,w
1115751,w
1043405,w
1232416,w
1226978,w
1038821,w
1200927,w
1140696,w
1209344,w
1028062,w
1185163,w
1049881,w
1108089,w
1189325,w
1132282,w
1099106,w
1172881,w
1165962,w
1178399,w
1239531,w
1245864,w
1249550,w
1049057,w
1071214,w
1157628,w
1035218,w
1074905,w
1019414,w
1019418,w
1118517,w
1195145,w
1230291,w
1164619,w
1232417,w
1159417,w
1245936,w
1204898,w
1218644,w
1139969,w
1191972,w
1119802,w
1113187,w
1135961,w
1021471,w
1239186,w
1092929,w
1191976,w
1186710,w
1074901,w
1190108,w
1202418,w
1187449,w
1086979,w
1093027,w
1216471,w
1096875,w
1127746,w
1112179,w
1030297,w
1038716,w
1171844,w
1040971,w
1117457,w
1003660,w
1242173,w
1232354,w
1195095,w
1210563,w
1244108,w
1207921,w
1242377,w
1232358,w
1071221,w
1188866,w
1003695,w
1032725,w
1118467,w
1239331,w
1183102,w
1205457,w
1142756,w
1019186,w
1178346,w
1152595,w
1232424,w
1030385,w
1026278,w
1239124,w
1140781,w
1189618,w
1083477,w
1246748,w
1161117,w
1223004,w
1147135,w
1069051,w
1110872,w
1149973,w
1202584,w
1217236,w
1071210,w
1081745,w
1029372,w
1227987,w
1125023,w
1089277,w
1179385,w
1236291,w
1083734,w
1050837,w
1065617,w
1198825,w
1042597,w
1093373,w
1081985,w
1222450,w
1099032,w
1039644,w
1078722,w
1170592,w
1062583,w
1116798,w
1187174,w
1236133,w
1237059,w
1065140,w
1040969,w
1063083,w
1188524,w
1242826,w
1116079,w
1096902,w
1117294,w
1117739,w
1225867,w
1123255,w
1119917,w
1204679,w
1139122,w
1188078,w
1096906,w
1192864,w
1063249,w
1144348,w
1159528,w
1133610,w
1082657,w
1232375,w
1155663,w
1088105,w
1129565,w
1171586,w
1096898,w
1069049,w
1248282,w
1147789,w
1198237,w
1028318,w
1210586,w
1123251,w
1028165,w
1027779,w
1140557,w
1204536,w
1138730,w
1132121,w
1125590,w
1190116,w
1002031,w
1035574,w
1232371,w
1228709,w
1144319,w
1051367,w
1183075,w
1156495,w
1111285,w
1031840,w
1073466,w
1096887,w
1135201,w
1089632,w
1232441,w
1071325,w
1145446,w
1028161,w
1188870,w
1197566,w
1195609,w
1063115,w
1188649,w
1155441,w
1137278,w
1232384,w
1108973,w
1176042,w
1192947,w
1129495,w
1217969,w
1020619,w
1093367,w
1043416,w
1241399,w
1239820,w
1232782,w
1061928,w
1231738,w
1035217,w
1232339,w
1111054,w
1031228,w
1234902,w
1125170,w
1143727,w
1046422,w
1020778,w
1117043,w
1176862,w
1121327,w
1124955,w
1243214,w
1144344,w
