classid,frameset,domain,links,javascript.encode,replace,blank_ratio,refresh,dispatchevent,parseInt,.dll,malware_word,id,emp,clearattributes,phishing,img,script,vbscript,document.cookie,length,jscript.encode,split,addeventlistener,.ini,firevent,fromcharcode,window.location,shell,aver_length,attachevent,eval(,escape(,embed,unescape(,document.location,open(,ips,setinterval,insertadjacentelement,document.writeln,.tmp,bad,iframe,Assignment,window.open,document.write,settimeout,objected,.exe
1.0,0.0,25.0,25.0,0.0,0.0,0.184834755,0.0,0.0,0.0,0.0,3.0,290398.0,2774.0,0.0,0.0,16.0,20.0,0.0,0.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0
1.0,0.0,37.0,125.0,0.0,0.0,0.110713391,0.0,0.0,0.0,0.0,0.0,290448.0,6186.0,0.0,0.0,106.0,23.0,0.0,0.0,3643.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,455.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,16.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,0.007294354,40.0,0.0,100.0,0.0,0.0,290749.0,1538.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,8.0
0.0,0.0,4.0,116.0,0.0,0.0,0.383381763,0.0,0.0,0.0,0.0,0.0,291582.0,17284.0,0.0,0.0,17.0,43.0,0.0,0.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,30.0,31.0,0.0,0.0,0.110085488,0.0,0.0,0.0,0.0,1.0,291707.0,2099.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.0,17.0,0.0,0.0,0.13078592,0.0,0.0,0.0,1.0,0.0,291984.0,21279.0,0.0,0.0,14.0,42.0,0.0,0.0,2085.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,695.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,32.0,48.0,0.0,0.0,0.177143762,0.0,0.0,0.0,0.0,0.0,292056.0,12306.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.082210695,0.0,0.0,0.0,0.0,0.0,292600.0,2203.0,0.0,0.0,91.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,8.0,0.0,7.0,0.336260466,0.0,0.0,0.0,0.0,0.0,292789.0,173541.0,0.0,0.0,1315.0,49.0,0.0,0.0,5066.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,108.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.0,851.0,0.0,0.0,0.359615686,0.0,0.0,1.0,0.0,0.0,293076.0,133211.0,0.0,0.0,603.0,105.0,0.0,0.0,25098.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0,2509.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,1.0,0.0,0.0,0.0,0.0
