6411,10
28005,10
40541,9
23829,8
17984,8
2120,8
6835,8
5599,8
8139,8
24603,8
211,8
20258,8
12404,8
38698,8
777,7
9243,7
5881,7
5349,7
2738,7
4096,7
35114,7
11815,7
8726,7
44359,7
9567,7
5553,7
45027,7
30509,6
4765,6
293,6
5445,6
34337,6
37279,6
778,6
32189,6
7611,6
6955,6
6888,6
5544,6
6037,6
1514,6
30746,6
3097,6
5008,6
2950,6
509,5
33733,5
22701,5
38608,5
29342,5
41466,5
23805,5
19393,5
30053,5
31986,5
6844,5
3142,5
326,5
7606,5
7938,5
34199,5
9338,5
8299,5
3866,5
8037,5
8249,5
2986,5
21234,5
4314,5
8532,5
9657,4
4592,4
4042,4
3122,4
15673,4
26035,4
33152,4
3006,4
7739,4
28814,4
12518,4
2955,4
8367,4
20291,4
11390,4
3965,4
7381,4
11359,4
10507,4
5357,4
27234,4
31003,4
39585,4
43933,4
4675,4
36764,4
10251,3
6514,3
5413,3
32059,3
4111,3
34893,3
15666,3
7389,3
12377,3
42303,3
5454,3
32887,3
7979,3
18507,3
13613,3
5101,3
13729,3
26451,3
638,3
37429,3
4640,3
19200,3
4996,3
7129,3
9682,3
10039,3
37294,3
37293,3
10676,3
35266,3
829,2
695,2
922,2
22238,2
9952,2
2273,2
20598,2
38303,2
21928,2
8076,2
26926,2
3191,2
42765,2
21681,2
8092,2
18260,2
17278,2
11433,2
3232,2
4788,2
45915,2
5442,2
29140,2
42009,2
38365,2
39237,2
31179,2
7207,2
5167,2
29485,2
32732,2
9520,2
5692,2
12240,2
1398,2
20594,2
2064,1
7138,1
26466,1
8115,1
7131,1
43098,1
44991,1
8275,1
1693,1
19516,1
26685,1
19523,1
3291,1
26454,1
30882,1
42376,1
29045,1
14314,1
2385,1
27979,1
29000,1
13845,1
33303,1
3633,1
35394,1
5734,1
28154,1
9498,1
445,1
9475,1
31447,1
6892,1
29913,1
45360,1
13066,1
7627,1
12222,1
